# The total value of probabilities in each layer of samples are recorded below.
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
{0: '1', 1: '1', 2: '1', 3: '1', 4: '1', 5: '1'}
