root,0
Engineered,root
Wastewater,Engineered
Activated_Sludge,Wastewater
Industrial_wastewater,Wastewater
Agricultural_wastewater,Industrial_wastewater
Mine_water,Industrial_wastewater
Petrochemical,Industrial_wastewater
Nutrient_removal,Wastewater
Dissolved_organics_(aerobic),Nutrient_removal
Dissolved_organics_(anaerobic),Nutrient_removal
Water_and_sludge,Wastewater
Environmental,root
Aquatic,Environmental
Freshwater,Aquatic
Groundwater,Freshwater
Biofilm,Groundwater
Lake,Freshwater
Marine,Aquatic
Coastal,Marine
Sediment_3,Coastal
Cold_seeps,Marine
Sediment_4,Cold_seeps
Hydrothermal_vents,Marine
Black_smokers,Hydrothermal_vents
Diffuse_flow,Hydrothermal_vents
Microbial_mats,Hydrothermal_vents
Sediment_5,Hydrothermal_vents
Intertidal_zone,Marine
Coral_reef,Intertidal_zone
Estuary,Intertidal_zone
Mangrove_swamp,Intertidal_zone
Microbialites,Intertidal_zone
Salt_marsh,Intertidal_zone
Sediment_6,Intertidal_zone
Marginal_Sea,Marine
Neritic_zone,Marine
Sediment_7,Neritic_zone
Oceanic,Marine
Abyssal_plane,Oceanic
Aphotic_zone,Oceanic
Benthic,Oceanic
Photic_zone,Oceanic
Sediment_8,Oceanic
Oil,Marine
contaminated_2,Oil
contaminated_sediment,Oil
contaminated_sediments,Oil
Oil_seeps,Marine
Pelagic,Marine
Sediment_1,Marine
Volcanic,Marine
Wetlands,Marine
Sediment_9,Wetlands
Non,Aquatic
marine_Saline_and_Alkaline,Non
Alkaline,marine_Saline_and_Alkaline
Sediment_10,Alkaline
Hypersaline,marine_Saline_and_Alkaline
Sediment_11,Hypersaline
Salt_crystallizer_pond,marine_Saline_and_Alkaline
Sediment,Aquatic
Thermal_springs,Aquatic
Sediment_2,Thermal_springs
Terrestrial,Environmental
Soil,Terrestrial
Agricultural,Soil
Boreal_forest,Soil
Contaminated,Soil
Crop,Soil
Agricultural_land,Crop
Desert,Soil
Forest_soil,Soil
Grasslands,Soil
Loam,Soil
Agricultural_1,Loam
Permafrost,Soil
Sand,Soil
Tropical_rainforest,Soil
Uranium_contaminated,Soil
Wetlands_1,Soil
Host,root
associated,Host
Human,associated
Circulatory_system,Human
Blood,Circulatory_system
Digestive_system,Human
Fecal,Digestive_system
Foregut,Digestive_system
Rumen,Foregut
Intestine,Digestive_system
Large_intestine,Digestive_system
Cecum,Large_intestine
Fecal_1,Large_intestine
Fecal_2,Large_intestine
Large_intestine_1,Digestive_system
Oral,Digestive_system
buccal_mucosa,Oral
Periodontal_pockets,Oral
Saliva,Oral
Subgingival_plaque,Oral
Supragingival_plaque,Oral
Throat,Oral
tongue_dorsum,Oral
Oral_cavity,Digestive_system
Buccal_mucosa,Oral_cavity
Stomach,Digestive_system
Rumen_1,Stomach
Lympathic_system,Human
Lymph_nodes,Lympathic_system
Reproductive_system,Human
Female,Reproductive_system
Vagina,Reproductive_system
posterior_fornix,Vagina
Respiratory_system,Human
Nasopharyngeal,Respiratory_system
Nasal_cavity,Nasopharyngeal
Pharynx,Nasopharyngeal
Pulmonary_system,Respiratory_system
Sputum,Pulmonary_system
Skin,Human
Insecta,associated
Digestive_system_1,Insecta
Mammals,associated
Digestive_system_2,Mammals
Plants,associated
Phylloplane,Plants
Endophytes,Phylloplane
Rhizoplane,Plants
Endophytes_1,Rhizoplane
Rhizosphere,Plants
Epiphytes,Rhizosphere
Forest_soil_2,Rhizosphere
Soil_1,Rhizosphere
Root,Plants
Mixed,root
